,City,State,Cost of Living Index,POPESTIMATE2019
0,Aberdeen,WA,95.5,16756
2,Abilene,TX,89.6,123420
3,Adrian,MI,89.9,20600
7,Akron,OH,90.8,197597
11,Alamogordo,NM,86.5,31980
13,Albany,GA,88.9,72130
15,Albany,OR,106.0,55338
16,Albany,NY,101.6,96460
20,Albertville,AL,89.2,21711
22,Albuquerque,NM,94.5,560513
24,Alexandria,LA,87.3,46180
26,Altoona,PA,92.4,43364
30,Amarillo,TX,89.1,199371
31,Ames,IA,92.3,66258
33,Ann Arbor,MI,99.7,119980
37,Anniston,AL,86.9,21287
39,Appleton,WI,91.6,74098
40,Appleton,WI,91.6,10926
41,Appleton,WI,91.6,61493
42,Appleton,WI,91.6,1679
43,Asheville,NC,105.5,92870
45,Ashtabula,OH,87.9,18017
47,Athens,OH,88.8,24536
49,Athens,TX,90.6,12753
51,Atlanta,GA,102.1,506811
52,Atlantic City,NJ,103.6,37743
56,Auburn,NY,93.8,26173
60,Auburn,AL,93.5,66259
62,Augusta,ME,99.2,18697
66,Austin,TX,107.7,978908
67,Bakersfield,CA,103.6,384145
69,Baltimore,MD,109.7,593490
72,Bangor,ME,98.4,32262
76,Barnstable Town,MA,123.1,44477
80,Baton Rouge,LA,92.3,220236
82,Battle Creek,MI,86.3,51093
86,Bay City,MI,85.6,32717
90,Beaumont,TX,89.6,116825
92,Beaver Dam,WI,92.2,16403
96,Beaver Dam,WI,92.2,3942
97,Beckley,WV,78.8,15940
99,Bellingham,WA,112.0,92314
101,Bend,OR,116.3,100421
103,Billings,MT,97.4,109577
105,Binghamton,NY,94.4,44399
109,Binghamton,NY,94.4,4713
110,Birmingham,AL,91.7,209403
111,Bismarck,ND,95.4,73529
115,Blacksburg,VA,96.7,44233
117,Bloomington,IN,93.1,85755
119,Bloomsburg,PA,94.6,13811
123,Bluefield,WV,80.5,9629
125,Boise City,ID,99.7,228959
127,Boston,MA,135.3,692600
131,Boulder,CO,123.5,105673
133,Bowling Green,KY,89.0,70543
135,Bozeman,MT,123.3,49831
137,Brainerd,MN,98.5,13434
141,Branson,MO,89.4,11630
142,Bremerton,WA,115.4,41405
144,Brownsville,TX,88.8,182781
146,Brunswick,GA,95.8,16256
148,Buffalo,NY,97.9,255284
152,Burlington,NC,93.1,54606
153,Burlington,VT,114.3,42819
157,Canton,OH,89.7,70447
161,Cape Girardeau,MO,89.2,40559
162,Carbondale,IL,83.7,25083
163,Carson City,NV,104.5,55916
166,Casper,WY,96.4,57931
168,Cedar Rapids,IA,89.2,133562
170,Centralia,WA,101.8,17745
172,Champaign,IL,90.6,88909
175,Charleston,WV,84.8,46536
177,Charleston,SC,103.7,137566
178,Charlotte,NC,99.4,885708
180,Charlottesville,VA,104.7,47266
183,Chattanooga,TN,92.6,182799
185,Cheyenne,WY,99.6,64235
187,Chicago,IL,102.0,2693976
189,Chicago,IL,102.0,0
190,Chico,CA,111.2,103301
192,Chillicothe,OH,90.2,21722
194,Cincinnati,OH,93.2,303940
198,Claremont,NH,102.6,12932
202,Clarksburg,WV,82.7,15225
204,Clarksville,TN,90.4,158146
206,Clearlake,CA,108.6,15267
208,Cleveland,TN,90.7,45504
210,Cleveland,OH,91.4,381009
214,Coeur d'Alene,ID,103.8,52414
216,College Station,TX,93.9,117911
218,Colorado Springs,CO,104.1,478221
220,Columbia,MO,91.6,123195
222,Columbia,SC,93.0,131674
223,Columbus,GA,89.4,195769
225,Columbus,IN,89.9,48046
227,Columbus,OH,95.5,898553
228,Columbus,OH,95.5,10718
229,Columbus,OH,95.5,879279
230,Concord,NH,108.1,43627
234,Cookeville,TN,90.2,34706
236,Coos Bay,OR,101.6,16361
238,Corning,NY,91.0,10538
242,Corning,NY,91.0,6175
243,Corpus Christi,TX,94.0,326586
244,Corvallis,OR,113.7,58856
246,Cullman,AL,89.8,16034
248,Cumberland,MD,92.1,19284
250,Dalton,GA,89.7,33665
252,Danville,IL,84.9,30479
254,Danville,VA,87.5,40044
257,Dayton,OH,89.3,140407
258,Dayton,OH,89.3,0
260,Decatur,AL,88.9,54445
261,Decatur,IL,86.1,70746
263,Denver,CO,115.0,727211
265,Des Moines,IA,93.3,214237
266,Detroit,MI,93.5,670031
270,Dothan,AL,86.8,68941
271,Dover,DE,102.0,38166
273,DuBois,PA,88.6,7364
277,Dubuque,IA,91.2,57882
279,Duluth,MN,94.6,85618
283,Dunn,NC,90.7,9718
285,Durham,NC,101.4,278993
286,Eau Claire,WI,92.4,68802
287,Eau Claire,WI,92.4,2019
288,Eau Claire,WI,92.4,66783
289,El Centro,CA,104.9,44079
291,El Paso,TX,89.6,681728
293,Elizabeth City,NC,91.7,17751
294,Elkhart,IN,89.7,52358
296,Elmira,NY,93.8,27054
300,Elmira,NY,93.8,6477
301,Enid,OK,84.9,49688
303,Erie,PA,92.9,95508
307,Eugene,OR,109.8,172622
309,Eureka,CA,115.9,26710
311,Evansville,IN,88.1,117979
313,Fairbanks,AK,110.9,30917
315,Fargo,ND,93.2,124662
319,Faribault,MN,102.8,23897
