Rank,City,State,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Raleigh,NC,202.12,130.95,65.55,75.62,71.1,2.76,32.27,22.85,83.88
2,Madison,WI,195.18,119.7,67.22,78.89,68.39,3.38,23.59,19.59,51.64
3,Columbus,OH,194.02,128.39,56.57,74.19,73.41,2.06,25.56,25.32,71.29
4,Dallas,TX,189.53,162.64,50.33,65.61,65.69,2.1,35.22,41.92,81.85
5,Austin,TX,189.19,131.13,64.81,70.69,63.97,3.61,34.25,36.27,82.08
6,Richmond,VA,188.49,112.69,55.91,75.64,67.79,2.97,21.96,31.73,81.27
7,Charlotte,NC,187.44,122.58,55.81,73.88,76.17,2.9,35.19,28.44,84.05
8,Seattle,WA,185.83,134.4,51.48,73.45,89.39,5.02,41.63,28.27,91.73
9,San Diego,CA,185.7,117.52,63.27,70.15,80.5,5.05,33.8,35.04,97.08
10,Buffalo,NY,183.73,100.96,55.01,76.84,73.11,1.97,22.17,25.02,66.43
11,Kansas City,MO,183.07,123.16,40.59,79.45,69.41,1.86,26.29,32.03,75.08
12,San Jose,CA,181.45,143.91,53.72,73.23,78.33,6.19,38.11,46.54,95.53
13,Portland,OR,178.72,107.35,51.71,73.89,78.58,4.25,33.17,31.2,89.56
14,Cincinnati,OH,178.21,125.89,51.15,69.2,63.41,2.18,24.89,43.27,73.24
15,Reno,NV,177.69,122.58,54.29,62.24,68.02,3.32,24.89,32.36,62.28
16,Tampa,FL,176.14,108.25,51.78,68.64,78.25,3.12,35.84,29.79,84.67
17,Saint Louis,MO,175.22,126.52,29.38,81.38,68.46,1.79,27.16,38,74.75
18,Jacksonville,FL,173.77,117.54,41.96,69.48,70.18,2.14,35.23,36.77,87.81
19,Spokane,WA,172.32,93.55,46.17,63.66,74.56,3.54,23.73,19.75,67.12
20,Indianapolis,IN,172.2,123.88,42.34,73.01,65.92,2.06,29.07,41.78,69.92
21,Atlanta,GA,171.98,144.46,37.85,67.34,76.87,2.82,42.33,44.85,89.73
22,Minneapolis,MN,171.61,118.79,47.23,78.45,80.89,3.1,36.7,26.79,49.46
23,San Antonio,TX,171.53,110.28,51.93,71.65,63.79,2.46,30.5,44.96,80.58
24,Tucson,AZ,171.28,100.82,49.48,59.05,66.94,2.8,29.24,26.26,72.66
25,Boston,MA,171.03,105.51,64.48,75.12,88.78,7.76,45.42,27.03,71.73
26,Sacramento,CA,170.79,107.68,50.11,69.5,77.52,3.98,26.69,45.4,90.64
27,Nashville,TN,169.96,109.8,52.21,63.95,73.16,2.93,38.51,35.71,83.02
28,Orlando,FL,169.58,107.68,47.86,62.85,69.14,2.85,36.31,35.58,87.23
29,Pittsburgh,PA,168.88,108.14,62.23,74.84,79.35,2.31,38.06,45.3,72.13
30,Albuquerque,NM,167.97,107.84,29.77,66.56,65.78,2.92,25.56,25.13,67.06
31,Salt Lake City,UT,165.27,129.51,67.22,70.71,64.86,4.64,34.9,63.04,66.52
32,Anchorage,AK,165.07,113.26,36.66,61.17,91.88,2.56,27.64,17,41.61
33,San Francisco,CA,164.82,145.53,43.88,65.17,92.88,7.13,51.67,47.36,97.26
34,Denver,CO,164.49,119.82,57.17,69.47,74.49,4.31,36.56,42.8,56.28
35,Houston,TX,164.16,140.48,35.97,71.49,67.19,2.16,41.63,56.14,85.53
36,Washington,DC,163.74,117.32,42.48,70.63,85.46,4.83,40.77,39.18,81.62
37,Oakland,CA,161.66,94.99,36.18,79.32,90.39,6.79,37.69,35.43,96.4
38,Cleveland,OH,160.81,91.44,34.68,82.74,76.93,1.58,33.74,36.64,73.11
39,Baltimore,MD,155.13,110.02,24.99,76.57,73.48,2.58,31.14,50.38,81.24
40,Honolulu,HI,154.75,75.12,56.08,72.42,95.89,9.35,41.19,36.82,95.33
41,Phoenix,AZ,152.33,118.57,48.07,66.58,66.91,3.04,31.86,57.03,53.76
42,Milwaukee,WI,152.23,85.19,32.38,65.73,80.63,2.81,28.54,29.26,60.96
43,Las Vegas,NV,150.93,114.56,44.07,56.03,69.09,2.98,27.36,52.36,57.4
44,Miami,FL,147.91,81.43,46.67,62.47,78.21,5.75,43.4,39.41,85.69
45,Chicago,IL,147.74,109.18,35.14,66.2,82.04,3.89,42.07,43.33,66.11
46,Philadelphia,PA,143.14,91.04,38.36,69.38,79.02,3.94,39.2,52.15,77.98
47,New York,NY,137.69,100,53.43,61.79,100,10.49,43.13,57.36,79.66
48,Los Angeles,CA,131.89,100.01,51.67,61.33,82.55,7.63,60.77,66.07,95.5
49,Detroit,MI,122.46,80.59,26.4,62.88,67.82,1.26,46.21,58.48,66.03
